Ticker,Company,# Funds,Accumulating,Distributing,Direction,Total Value ($M),Avg Weight (%)
IONS,INTUITIVE SURGICAL INC,15,9,6,ACCUMULATING,1356875.4,0.01
NVTA,NVIDIA CORPORATION,13,4,9,DISTRIBUTING,61710609.3,0.99
MRNA,MERCK & CO INC,12,4,8,DISTRIBUTING,1951810.1,0.03
CORT,COSTAR GROUP INC,12,7,5,ACCUMULATING,239130.9,0.0
VRTX,10X GENOMICS INC,12,8,4,ACCUMULATING,48812.0,0.0
UNH,UNITEDHEALTH GROUP INC,11,7,4,ACCUMULATING,9636200.4,0.14
RARE,VALERO ENERGY CORP,11,4,7,DISTRIBUTING,647557.7,0.01
ANNX,ANTERO RESOURCES CORP,11,4,7,DISTRIBUTING,345111.6,0.0
CPRX,CISCO SYS INC,10,3,7,DISTRIBUTING,1887645.8,0.03
SRPT,S&P GLOBAL INC,10,7,3,ACCUMULATING,813302.0,0.01
RXRX,RH,10,4,6,DISTRIBUTING,564039.6,0.01
ZNTL,ZOETIS INC,10,7,3,ACCUMULATING,349472.7,0.01
ARQT,argenx SE,9,7,1,ACCUMULATING,943402.5,0.04
ILMN,IDEXX LABS INC,9,7,2,ACCUMULATING,110638.6,0.0
ABBV,ABBVIE INC,8,6,2,ACCUMULATING,2437788.6,0.05
OPK,OREILLY AUTOMOTIVE INC,8,5,3,ACCUMULATING,880333.3,0.02
REGN,REGENERON PHARMACEUTICALS,8,5,3,ACCUMULATING,744292.5,0.02
CRSP,CARDINAL HEALTH INC,8,6,2,ACCUMULATING,671964.2,0.01
ALNY,ALNYLAM PHARMACEUTICALS INC,8,4,4,MIXED,208952.9,0.0
PCRX,PELOTON INTERACTIVE INC,8,5,3,ACCUMULATING,173949.3,0.0
XNCR,XPENG INC,8,4,4,MIXED,169811.4,0.0
CELG,CBRE GROUP INC,8,8,0,ACCUMULATING,151548.7,0.0
EXEL,EXTRA SPACE STORAGE INC,8,3,5,DISTRIBUTING,101266.2,0.0
ENTA,ENCOMPASS HEALTH CORP,8,8,0,ACCUMULATING,84678.7,0.0
MRK,MEDICAL PPTYS TRUST INC,8,3,5,DISTRIBUTING,42916.4,0.0
PCVX,PHREESIA INC,8,4,4,MIXED,17428.0,0.0
GOSS,GOPRO INC,8,5,3,ACCUMULATING,3125.8,0.0
IMVT,Incyte Corporation,7,4,3,ACCUMULATING,2645953.6,2.69
MDGL,M & T BK CORP,7,7,0,ACCUMULATING,71686.8,0.0
KRTX,KINSALE CAP GROUP INC,7,0,7,DISTRIBUTING,41214.5,0.0
INCY,INNOVIVA INC,7,4,3,ACCUMULATING,25501.4,0.0
MIST,MITSUBISHI UFJ FINL GROUP IN,7,0,7,DISTRIBUTING,1982.3,0.0
BIIB,BIOGEN INC,6,4,2,ACCUMULATING,194494.8,0.01
NBIX,NCR VOYIX CORPORATION,6,3,3,MIXED,10592.1,0.0
TGTX,TEGNA INC,5,2,3,DISTRIBUTING,12373.9,0.0
RGEN,"Relay Therapeutics, Inc.",5,1,3,DISTRIBUTING,9081.6,0.01
HALO,HCI GROUP INC,5,2,3,DISTRIBUTING,8931.0,0.0
PRTA,PUMA BIOTECHNOLOGY INC,4,0,4,DISTRIBUTING,674.9,0.0
GILD,DISH NETWORK CORPORATION,1,0,1,MIXED,0.0,0.0
SHPG,SHOCKWAVE MED INC,1,0,1,MIXED,0.0,0.0
